#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-24-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.204175 seconds
Distributing the actor graph took: 41.4174 seconds
Added actors in: 0.136771 seconds.
Initialized connections of actors in: 0.0478908 seconds.
Async Migration only
Output number: 1, Rank-12: (1) 78 | (2) 1002 | (3)7.78443/100 | (4) 33, 33 | (5) 79.3096 | (6) 44.5612 | (7) 0.000194488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (203413, 203413) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 180.154 | (25) (33.859, 61-55)
Output number: 1, Rank-27: (1) 75 | (2) 1303 | (3)5.75595/100 | (4) 14, 14 | (5) 101.205 | (6) 35.4367 | (7) 0.000208274 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (94290, 94290) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 201.958 | (25) (33.2694, 143-8)
Output number: 1, Rank-4: (1) 65 | (2) 907 | (3)7.16648/100 | (4) 15, 15 | (5) 82.1939 | (6) 43.0815 | (7) 0.000200676 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (168153, 168153) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 235.21 | (25) (33.2965, 83-79)
Output number: 1, Rank-1: (1) 74 | (2) 990 | (3)7.47475/100 | (4) 41, 41 | (5) 71.5726 | (6) 46.8214 | (7) 0.000192286 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65.5556/100 | (15) 0 | (17) (41, 41) | (18) X | (19) (196405, 196405) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 213.888 | (25) (33.7834, 75-89)
Output number: 1, Rank-3: (1) 91 | (2) 1514 | (3)6.01057/100 | (4) 30, 30 | (5) 86.7446 | (6) 42.1711 | (7) 0.000197412 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (126803, 126803) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.714 | (25) (33.7931, 122-4)
Output number: 1, Rank-5: (1) 67 | (2) 1058 | (3)6.3327/100 | (4) 19, 19 | (5) 82.5125 | (6) 43.165 | (7) 0.000188035 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (189508, 189508) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 204.072 | (25) (33.4333, 121-140)
Output number: 1, Rank-6: (1) 92 | (2) 1104 | (3)8.33333/100 | (4) 21, 21 | (5) 88.7987 | (6) 41.1485 | (7) 0.000183488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.6667/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (154423, 154423) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 206.734 | (25) (33.6192, 140-132)
Output number: 1, Rank-7: (1) 95 | (2) 1124 | (3)8.45196/100 | (4) 44, 44 | (5) 87.1879 | (6) 41.0311 | (7) 0.000224008 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (183547, 183547) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 196.915 | (25) (36.1998, 140-9)
Output number: 1, Rank-9: (1) 82 | (2) 1501 | (3)5.46302/100 | (4) 17, 17 | (5) 97.2675 | (6) 37.0822 | (7) 0.000229476 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (125542, 125542) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 203.875 | (25) (33.5436, 133-15)
Output number: 1, Rank-358: (1) 57 | (2) 1053 | (3)5.41311/100 | (4) 17, 17 | (5) 78.001 | (6) 45.4008 | (7) 0.000303683 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (124902, 124902) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 210.128 | (25) (37.7898, 8-143)
Output number: 1, Rank-394: (1) 68 | (2) 1470 | (3)4.62585/100 | (4) 38, 38 | (5) 63.5782 | (6) 50.5473 | (7) 0.000228074 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.3333/100 | (15) 0 | (17) (38, 38) | (18) X | (19) (204259, 204259) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 212.2 | (25) (33.2922, 66-66)
Output number: 1, Rank-226: (1) 63 | (2) 1510 | (3)4.17219/100 | (4) 39, 39 | (5) 68.8522 | (6) 48.5247 | (7) 0.000235751 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65/100 | (15) 0 | (17) (39, 39) | (18) X | (19) (224442, 224442) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 212.072 | (25) (33.7515, 49-67)
Output number: 1, Rank-470: (1) 65 | (2) 1459 | (3)4.45511/100 | (4) 50, 50 | (5) 66.6655 | (6) 49.1126 | (7) 0.00013546 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.8889/100 | (15) 0 | (17) (50, 50) | (18) X | (19) (253791, 253791) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 186.274 | (25) (33.7569, 76-76)
Output number: 1, Rank-552: (1) 72 | (2) 1643 | (3)4.38223/100 | (4) 29, 29 | (5) 82.7075 | (6) 43.2798 | (7) 0.000105956 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (198005, 198005) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 211.919 | (25) (33.9747, 70-94)
Output number: 1, Rank-504: (1) 106 | (2) 1480 | (3)7.16216/100 | (4) 29, 29 | (5) 95.695 | (6) 37.0472 | (7) 0.000191145 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (122776, 122776) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 208.72 | (25) (33.3877, 1-2)
Output number: 1, Rank-204: (1) 79 | (2) 1037 | (3)7.61813/100 | (4) 26, 26 | (5) 82.1466 | (6) 42.9525 | (7) 0.000266637 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (209331, 209331) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 209.379 | (25) (34.1243, 73-81)
Output number: 1, Rank-608: (1) 66 | (2) 979 | (3)6.74157/100 | (4) 37, 37 | (5) 86.693 | (6) 41.1665 | (7) 0.000245477 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (156092, 156092) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 180.439 | (25) (33.5751, 63-52)
Output number: 1, Rank-489: (1) 74 | (2) 1498 | (3)4.93992/100 | (4) 41, 41 | (5) 88.9693 | (6) 40.2737 | (7) 0.00018192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.6667/100 | (15) 0 | (17) (41, 41) | (18) X | (19) (193354, 193354) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 214.112 | (25) (33.5686, 135-16)
Output number: 1, Rank-368: (1) 75 | (2) 1522 | (3)4.92773/100 | (4) 35, 35 | (5) 75.6846 | (6) 45.4539 | (7) 0.000218485 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (35, 35) | (18) X | (19) (169325, 169325) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 178.453 | (25) (33.5259, 60-85)
Output number: 1, Rank-312: (1) 85 | (2) 1092 | (3)7.78388/100 | (4) 57, 57 | (5) 68.4126 | (6) 47.6466 | (7) 0.000285057 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 64.4444/100 | (15) 0 | (17) (57, 57) | (18) X | (19) (250979, 250979) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 208.52 | (25) (34.0816, 77-59)
Output number: 1, Rank-568: (1) 55 | (2) 1614 | (3)3.40768/100 | (4) 49, 49 | (5) 55.9992 | (6) 53.3783 | (7) 0.000287202 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 60.5556/100 | (15) 0 | (17) (49, 49) | (18) X | (19) (242955, 242955) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 183.209 | (25) (33.4643, 128-3)
Output number: 1, Rank-628: (1) 80 | (2) 1053 | (3)7.59734/100 | (4) 28, 28 | (5) 92.8953 | (6) 39.2024 | (7) 0.000201275 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (172482, 172482) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 210.101 | (25) (33.8344, 58-51)
Output number: 1, Rank-140: (1) 69 | (2) 1188 | (3)5.80808/100 | (4) 36, 36 | (5) 64.1486 | (6) 51.0064 | (7) 0.000183267 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.8889/100 | (15) 0 | (17) (36, 36) | (18) X | (19) (248722, 248722) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 212.947 | (25) (33.727, 3-123)
Output number: 1, Rank-125: (1) 84 | (2) 1590 | (3)5.28302/100 | (4) 37, 37 | (5) 92.9879 | (6) 38.31 | (7) 0.000192693 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 72.7778/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (141338, 141338) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 220.801 | (25) (35.1505, 70-90)
Output number: 1, Rank-100: (1) 66 | (2) 1259 | (3)5.24226/100 | (4) 17, 17 | (5) 96.068 | (6) 36.9063 | (7) 0.000199125 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (135839, 135839) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 201.97 | (25) (33.497, 56-79)
Output number: 1, Rank-78: (1) 66 | (2) 1475 | (3)4.47458/100 | (4) 31, 31 | (5) 81.8985 | (6) 42.5756 | (7) 0.000225429 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.8889/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (145301, 145301) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 178.874 | (25) (33.7396, 82-72)
Output number: 1, Rank-270: (1) 78 | (2) 1017 | (3)7.66962/100 | (4) 15, 15 | (5) 89.398 | (6) 40.2429 | (7) 0.000261193 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.6667/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (155628, 155628) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 202.203 | (25) (33.3147, 5-5)
Output number: 1, Rank-300: (1) 71 | (2) 1507 | (3)4.71135/100 | (4) 20, 20 | (5) 87.9853 | (6) 40.8672 | (7) 0.000229823 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (161632, 161632) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 207.078 | (25) (33.95, 74-74)
Output number: 1, Rank-45: (1) 58 | (2) 1104 | (3)5.25362/100 | (4) 53, 53 | (5) 56.105 | (6) 53.4279 | (7) 0.000218819 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 60.5556/100 | (15) 0 | (17) (53, 53) | (18) X | (19) (241884, 241884) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 221.429 | (25) (34.2071, 63-76)
Output number: 1, Rank-428: (1) 97 | (2) 1470 | (3)6.59864/100 | (4) 19, 19 | (5) 98.4674 | (6) 36.5792 | (7) 0.000196495 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (130960, 130960) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.771 | (25) (33.961, 56-80)
Output number: 1, Rank-671: (1) 71 | (2) 1335 | (3)5.31835/100 | (4) 29, 29 | (5) 78.6727 | (6) 44.8941 | (7) 0.000168304 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (159445, 159445) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 208.533 | (25) (33.376, 138-125)
Output number: 1, Rank-193: (1) 64 | (2) 1407 | (3)4.54869/100 | (4) 14, 14 | (5) 89.4894 | (6) 40.2438 | (7) 0.000159435 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.6667/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (113955, 113955) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 203.937 | (25) (33.8234, 75-94)
Output number: 1, Rank-145: (1) 47 | (2) 1149 | (3)4.09051/100 | (4) 73, 73 | (5) 59.8449 | (6) 50.7729 | (7) 0.000168356 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 61.1111/100 | (15) 0 | (17) (73, 73) | (18) X | (19) (290772, 290772) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 166.834 | (25) (34.644, 50-68)
Output number: 1, Rank-126: (1) 81 | (2) 1025 | (3)7.90244/100 | (4) 22, 22 | (5) 82.214 | (6) 45.0514 | (7) 0.000239656 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (223192, 223192) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 186.236 | (25) (35.9752, 89-59)
Output number: 1, Rank-101: (1) 57 | (2) 985 | (3)5.7868/100 | (4) 15, 15 | (5) 99.2874 | (6) 35.7576 | (7) 0.000173868 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (139275, 139275) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 205.008 | (25) (33.8851, 75-68)
Output number: 1, Rank-79: (1) 72 | (2) 1066 | (3)6.75422/100 | (4) 28, 28 | (5) 78.4608 | (6) 44.6936 | (7) 0.00019896 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (221841, 221841) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 209.845 | (25) (33.6333, 133-12)
Output number: 1, Rank-271: (1) 62 | (2) 1387 | (3)4.47008/100 | (4) 14, 14 | (5) 98.6207 | (6) 36.2255 | (7) 0.000269315 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (90216, 90216) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 200.895 | (25) (33.1638, 93-76)
Output number: 1, Rank-301: (1) 67 | (2) 1405 | (3)4.76868/100 | (4) 28, 28 | (5) 87.0271 | (6) 41.1097 | (7) 0.000246339 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (140568, 140568) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 207.514 | (25) (33.4588, 64-94)
Output number: 1, Rank-46: (1) 65 | (2) 935 | (3)6.95187/100 | (4) 45, 45 | (5) 54.3576 | (6) 54.4167 | (7) 0.000283083 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 60/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (253455, 253455) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 184.18 | (25) (34.0187, 135-14)
Output number: 1, Rank-429: (1) 82 | (2) 1401 | (3)5.85296/100 | (4) 21, 21 | (5) 100.673 | (6) 34.949 | (7) 0.000202645 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (91637, 91637) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.514 | (25) (33.7217, 5-8)
Output number: 1, Rank-644: (1) 78 | (2) 1602 | (3)4.86891/100 | (4) 43, 43 | (5) 62.9207 | (6) 50.4635 | (7) 0.000258922 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 62.7778/100 | (15) 0 | (17) (43, 43) | (18) X | (19) (221244, 221244) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 181.803 | (25) (33.6135, 77-91)
Output number: 1, Rank-194: (1) 67 | (2) 1399 | (3)4.78914/100 | (4) 31, 31 | (5) 80.6294 | (6) 46.8812 | (7) 0.000265422 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (206708, 206708) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.342 | (25) (33.4535, 18-2)
Output number: 1, Rank-359: (1) 80 | (2) 1502 | (3)5.32623/100 | (4) 24, 24 | (5) 86.1359 | (6) 43.2028 | (7) 0.00027851 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.6667/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (166113, 166113) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 208.778 | (25) (33.6867, 136-6)
Output number: 1, Rank-395: (1) 64 | (2) 1456 | (3)4.3956/100 | (4) 25, 25 | (5) 67.7235 | (6) 49.3018 | (7) 0.000271909 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (211278, 211278) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 240.275 | (25) (33.7895, 15-139)
Output number: 1, Rank-227: (1) 65 | (2) 873 | (3)7.44559/100 | (4) 28, 28 | (5) 70.3118 | (6) 49.2629 | (7) 0.000279075 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.1111/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (227787, 227787) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 208.476 | (25) (33.3358, 50-54)
Output number: 1, Rank-471: (1) 70 | (2) 1404 | (3)4.98575/100 | (4) 32, 32 | (5) 68.3966 | (6) 49.6901 | (7) 0.000229379 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65.5556/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (244043, 244043) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 189.878 | (25) (36.0835, 20-134)
Output number: 1, Rank-553: (1) 76 | (2) 987 | (3)7.7001/100 | (4) 21, 21 | (5) 81.2045 | (6) 43.6383 | (7) 0.000186864 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.8889/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (188922, 188922) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 206.394 | (25) (33.6047, 15-9)
Output number: 1, Rank-506: (1) 83 | (2) 1482 | (3)5.60054/100 | (4) 26, 26 | (5) 96.8895 | (6) 36.5999 | (7) 0.000185591 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (130520, 130520) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.596 | (25) (34.1068, 95-75)
Output number: 1, Rank-206: (1) 76 | (2) 1196 | (3)6.35452/100 | (4) 23, 23 | (5) 86.5698 | (6) 41.086 | (7) 0.000206261 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (143441, 143441) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 207.165 | (25) (33.5167, 78-91)
Output number: 1, Rank-609: (1) 97 | (2) 1120 | (3)8.66071/100 | (4) 29, 29 | (5) 92.5739 | (6) 39.3601 | (7) 0.000208848 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 72.7778/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (152102, 152102) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 208.923 | (25) (33.5021, 136-5)
