#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-random-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00275716 seconds
Distributing the actor graph took: 41.5013 seconds
Added actors in: 0.471613 seconds.
Initialized connections of actors in: 0.0464006 seconds.
Async Migration only
Output number: 1, Rank-20: (1) 1 | (2) 1713 | (3)0.0583771/100 | (4) 189, 189 | (5) 4.28038 | (6) 67.2325 | (7) 0.000142246 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (116118, 116118) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.3573 | (25) (0.44843, 134-36) | (26) 100605 | (27) -0.63486
Output number: 1, Rank-5: (1) 22 | (2) 1707 | (3)1.28881/100 | (4) 204, 204 | (5) 27.9493 | (6) 59.8125 | (7) 0.000131628 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (204, 204) | (18) X | (19) (108009, 108009) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 777.001 | (25) (32.6662, 85-57) | (26) 118583 | (27) -1.82713
Output number: 1, Rank-7: (1) 0 | (2) 1706 | (3)0/100 | (4) 182, 182 | (5) 4.12959 | (6) 66.9646 | (7) 7.3361e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (110863, 110863) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 62.9632 | (25) (0.44147, 86-11) | (26) 88811 | (27) -0.73549
Output number: 1, Rank-9: (1) 0 | (2) 1720 | (3)0/100 | (4) 188, 188 | (5) 4.23612 | (6) 66.8803 | (7) 5.448e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (111678, 111678) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.5048 | (25) (0.48624, 91-29) | (26) 98469 | (27) -0.73894
Output number: 1, Rank-10: (1) 1 | (2) 1711 | (3)0.0584454/100 | (4) 186, 186 | (5) 4.12165 | (6) 70.6235 | (7) 0.000109644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (110243, 110243) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.9797 | (25) (0.43143, 66-7) | (26) 5133 | (27) -1.14167
Output number: 1, Rank-11: (1) 0 | (2) 1710 | (3)0/100 | (4) 186, 186 | (5) 4.18662 | (6) 66.9852 | (7) 2.7356e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (110541, 110541) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.1459 | (25) (0.44276, 80-4) | (26) 17200 | (27) -0.36117
Output number: 1, Rank-12: (1) 0 | (2) 1720 | (3)0/100 | (4) 188, 188 | (5) 4.11969 | (6) 68.5589 | (7) 0.000107645 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (109208, 109208) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.7892 | (25) (0.56271, 68-19) | (26) 9130 | (27) -0.68406
Output number: 1, Rank-13: (1) 0 | (2) 1720 | (3)0/100 | (4) 185, 185 | (5) 4.01025 | (6) 68.0985 | (7) 0.00014748 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (105793, 105793) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.7456 | (25) (0.42965, 83-26) | (26) 10372 | (27) -0.69396
Output number: 1, Rank-15: (1) 0 | (2) 1718 | (3)0/100 | (4) 190, 190 | (5) 4.2196 | (6) 68.5022 | (7) 7.2805e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (110937, 110937) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.8323 | (25) (0.44045, 116-66) | (26) 119986 | (27) -0.65594
Output number: 1, Rank-16: (1) 0 | (2) 1718 | (3)0/100 | (4) 186, 186 | (5) 3.95851 | (6) 67.9601 | (7) 9.3717e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (106083, 106083) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.5314 | (25) (0.42821, 103-66) | (26) 124699 | (27) -1.05597
Output number: 1, Rank-17: (1) 0 | (2) 1718 | (3)0/100 | (4) 183, 183 | (5) 4.17409 | (6) 67.1332 | (7) 9.2005e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (110064, 110064) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.2593 | (25) (0.43319, 113-35) | (26) 104468 | (27) -0.40194
Output number: 1, Rank-24: (1) 37 | (2) 1714 | (3)2.15869/100 | (4) 226, 226 | (5) 4.80188 | (6) 66.3042 | (7) 5.9204e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (226, 226) | (18) X | (19) (129995, 129995) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 78.9564 | (25) (0.43803, 120-14) | (26) 84715 | (27) -2.45004
Output number: 1, Rank-25: (1) 16 | (2) 1715 | (3)0.932945/100 | (4) 201, 201 | (5) 4.44359 | (6) 64.9672 | (7) 4.8663e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.3333/100 | (15) 0 | (17) (201, 201) | (18) X | (19) (118562, 118562) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 71.2376 | (25) (0.46287, 126-26) | (26) 89210 | (27) -0.71395
Output number: 1, Rank-22: (1) 64 | (2) 1565 | (3)4.08946/100 | (4) 224, 224 | (5) 127.496 | (6) 19.2148 | (7) 0.000112488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 81.1111/100 | (15) 0 | (17) (224, 224) | (18) X | (19) (148026, 148026) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 2314.58 | (25) (33.572, 135-5) | (26) 1 | (27) 164.183
Output number: 1, Rank-23: (1) 3 | (2) 1120 | (3)0.267857/100 | (4) 66, 66 | (5) 152.081 | (6) 12.6456 | (7) 5.9646e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 91.1111/100 | (15) 0 | (17) (66, 66) | (18) X | (19) (46886, 46886) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2160.41 | (25) (33.4819, 141-5) | (26) 1 | (27) 64.4811
Output number: 1, Rank-26: (1) 58 | (2) 1375 | (3)4.21818/100 | (4) 194, 194 | (5) 134.984 | (6) 16.6988 | (7) 0.000249608 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 83.8889/100 | (15) 0 | (17) (194, 194) | (18) X | (19) (137352, 137352) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2294.64 | (25) (33.7372, 143-10) | (26) 1 | (27) 32.6688
Output number: 1, Rank-6: (1) 62 | (2) 1604 | (3)3.86534/100 | (4) 234, 234 | (5) 117.7 | (6) 23.2246 | (7) 8.9594e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 77.7778/100 | (15) 0 | (17) (234, 234) | (18) X | (19) (121897, 121897) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2778.57 | (25) (33.1661, 81-69) | (26) 1 | (27) 97.7112
Output number: 1, Rank-31: (1) 0 | (2) 1718 | (3)0/100 | (4) 182, 182 | (5) 4.25528 | (6) 68.8021 | (7) 0.000151441 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40.5556/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (110499, 110499) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.961 | (25) (0.56962, 29-35) | (26) 328848 | (27) -0.31982
Output number: 1, Rank-97: (1) 0 | (2) 1718 | (3)0/100 | (4) 190, 190 | (5) 4.22766 | (6) 65.7002 | (7) 0.000250992 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.3333/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (101554, 101554) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 89.5837 | (25) (24.3487, 74-91) | (26) 120348 | (27) -0.71533
Output number: 1, Rank-63: (1) 4 | (2) 1715 | (3)0.233236/100 | (4) 184, 184 | (5) 3.68475 | (6) 66.6377 | (7) 0.000111099 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (98090, 98090) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.2819 | (25) (0.46937, 90-98) | (26) 116581 | (27) -0.70911
Output number: 1, Rank-33: (1) 64 | (2) 1654 | (3)3.86941/100 | (4) 249, 249 | (5) 64.5544 | (6) 41.6203 | (7) 0.000252894 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 58.8889/100 | (15) 0 | (17) (249, 249) | (18) X | (19) (153138, 153138) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1396.11 | (25) (33.9439, 3-15) | (26) 50722 | (27) -0.68959
Output number: 1, Rank-98: (1) 0 | (2) 1721 | (3)0/100 | (4) 179, 179 | (5) 3.69793 | (6) 67.8464 | (7) 0.00019242 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (179, 179) | (18) X | (19) (98642, 98642) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 61.645 | (25) (0.42589, 73-119) | (26) 120422 | (27) -0.65235
Output number: 1, Rank-64: (1) 24 | (2) 1700 | (3)1.41176/100 | (4) 208, 208 | (5) 23.6581 | (6) 60.0041 | (7) 0.000138193 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (208, 208) | (18) X | (19) (105741, 105741) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 761.446 | (25) (33.6595, 84-86) | (26) 117074 | (27) -0.65698
Output number: 1, Rank-34: (1) 1 | (2) 1716 | (3)0.0582751/100 | (4) 189, 189 | (5) 4.3116 | (6) 72.0426 | (7) 0.000276825 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.2222/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (117586, 117586) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.9428 | (25) (0.46771, 3-36) | (26) 307894 | (27) -0.70521
Output number: 1, Rank-102: (1) 0 | (2) 1720 | (3)0/100 | (4) 186, 186 | (5) 3.95155 | (6) 67.0763 | (7) 0.000110397 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (106181, 106181) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 62.8616 | (25) (0.41723, 55-130) | (26) 107337 | (27) -0.44811
Output number: 1, Rank-65: (1) 0 | (2) 1722 | (3)0/100 | (4) 181, 181 | (5) 3.87894 | (6) 67.5268 | (7) 9.4014e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (181, 181) | (18) X | (19) (100381, 100381) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.7621 | (25) (0.5082, 108-99) | (26) 110845 | (27) -0.71352
Output number: 1, Rank-38: (1) 22 | (2) 1700 | (3)1.29412/100 | (4) 209, 209 | (5) 4.54985 | (6) 67.8391 | (7) 0.000143374 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (209, 209) | (18) X | (19) (125677, 125677) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 71.7777 | (25) (0.43364, 39-5) | (26) 314536 | (27) -1.69326
Output number: 1, Rank-105: (1) 111 | (2) 1575 | (3)7.04762/100 | (4) 289, 289 | (5) 106.595 | (6) 27.682 | (7) 0.000255839 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (289, 289) | (18) X | (19) (167268, 167268) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2274.65 | (25) (32.9656, 4-135) | (26) 26 | (27) 96.1951
Output number: 1, Rank-68: (1) 8 | (2) 1711 | (3)0.467563/100 | (4) 192, 192 | (5) 21.4214 | (6) 60.6992 | (7) 5.0978e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45.5556/100 | (15) 0 | (17) (192, 192) | (18) X | (19) (102251, 102251) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 590.636 | (25) (33.2957, 87-81) | (26) 8498 | (27) -0.3435
Output number: 1, Rank-4: (1) 20 | (2) 1225 | (3)1.63265/100 | (4) 85, 85 | (5) 168.358 | (6) 5.02232 | (7) 7.0017e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.1111/100 | (15) 0 | (17) (85, 85) | (18) X | (19) (50949, 50949) | (20) 1 | (21) 1 | (22) 0 | (23) 3 | (24) 2814 | (25) (33.9973, 76-67) | (26) 1 | (27) 98.4633
Output number: 1, Rank-41: (1) 0 | (2) 1719 | (3)0/100 | (4) 183, 183 | (5) 4.19622 | (6) 68.5799 | (7) 0.000273886 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (109108, 109108) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.9913 | (25) (0.45211, 51-18) | (26) 338002 | (27) -0.34627
Output number: 1, Rank-110: (1) 0 | (2) 1708 | (3)0/100 | (4) 186, 186 | (5) 4.02112 | (6) 67.9071 | (7) 0.000147794 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (111183, 111183) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 61.6021 | (25) (0.40704, 37-130) | (26) 97628 | (27) -0.22822
Output number: 1, Rank-69: (1) 80 | (2) 1489 | (3)5.37273/100 | (4) 246, 246 | (5) 146.078 | (6) 12.7164 | (7) 0.00011483 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 87.7778/100 | (15) 0 | (17) (246, 246) | (18) X | (19) (133703, 133703) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 3024.6 | (25) (33.2751, 83-70) | (26) 1 | (27) 63.7989
Output number: 1, Rank-47: (1) 1 | (2) 1723 | (3)0.0580383/100 | (4) 189, 189 | (5) 4.07539 | (6) 68.5504 | (7) 0.000270083 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (108688, 108688) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.6534 | (25) (0.49321, 50-38) | (26) 336107 | (27) -0.69196
Output number: 1, Rank-111: (1) 1 | (2) 1709 | (3)0.0585138/100 | (4) 189, 189 | (5) 4.27229 | (6) 66.1442 | (7) 0.000253762 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (115013, 115013) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.1669 | (25) (0.47423, 26-136) | (26) 84974 | (27) -0.85783
Output number: 1, Rank-70: (1) 0 | (2) 1718 | (3)0/100 | (4) 185, 185 | (5) 3.84781 | (6) 66.8179 | (7) 0.000119598 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (102106, 102106) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.7827 | (25) (0.41594, 78-106) | (26) 110965 | (27) -0.36879
Output number: 1, Rank-49: (1) 0 | (2) 1707 | (3)0/100 | (4) 179, 179 | (5) 4.02435 | (6) 67.5692 | (7) 0.000276091 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (179, 179) | (18) X | (19) (105713, 105713) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.6337 | (25) (0.52352, 6-76) | (26) 198039 | (27) -0.31194
Output number: 1, Rank-86: (1) 0 | (2) 1717 | (3)0/100 | (4) 184, 184 | (5) 4.01297 | (6) 67.5506 | (7) 0.000262556 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (107264, 107264) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.8706 | (25) (0.4111, 19-79) | (26) 89626 | (27) -1.00005
Output number: 1, Rank-71: (1) 0 | (2) 1718 | (3)0/100 | (4) 182, 182 | (5) 3.91982 | (6) 67.8401 | (7) 3.3428e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (102921, 102921) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.0292 | (25) (0.48817, 103-107) | (26) 99859 | (27) -0.38339
Output number: 1, Rank-87: (1) 0 | (2) 1723 | (3)0/100 | (4) 189, 189 | (5) 4.17379 | (6) 66.9768 | (7) 0.000248885 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (109901, 109901) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.7704 | (25) (0.54172, 12-97) | (26) 85527 | (27) -1.48361
Output number: 1, Rank-72: (1) 0 | (2) 1718 | (3)0/100 | (4) 185, 185 | (5) 3.96275 | (6) 70.5152 | (7) 8.9159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (106685, 106685) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.079 | (25) (0.43254, 111-114) | (26) 98285 | (27) -0.67819
Output number: 1, Rank-51: (1) 0 | (2) 1720 | (3)0/100 | (4) 190, 190 | (5) 4.11609 | (6) 68.9861 | (7) 0.00014503 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40.5556/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (109525, 109525) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.902 | (25) (0.421, 27-75) | (26) 91235 | (27) -1.03902
Output number: 1, Rank-53: (1) 0 | (2) 1716 | (3)0/100 | (4) 184, 184 | (5) 4.26327 | (6) 67.0869 | (7) 0.000255852 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (113324, 113324) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.6113 | (25) (0.46801, 10-45) | (26) 319240 | (27) -0.31161
Output number: 1, Rank-89: (1) 9 | (2) 1713 | (3)0.525394/100 | (4) 199, 199 | (5) 4.36179 | (6) 66.9619 | (7) 0.000154865 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (199, 199) | (18) X | (19) (117694, 117694) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 69.1594 | (25) (0.43563, 4-112) | (26) 27280 | (27) -1.40618
Output number: 1, Rank-73: (1) 0 | (2) 1718 | (3)0/100 | (4) 182, 182 | (5) 3.99947 | (6) 66.8288 | (7) 0.000149995 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (103467, 103467) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.6167 | (25) (0.48691, 92-126) | (26) 106849 | (27) -0.42987
