#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00140804 seconds
Distributing the actor graph took: 43.3275 seconds
Added actors in: 1.76254 seconds.
Initialized connections of actors in: 0.0487924 seconds.
Async Migration only
Output number: 1, Rank-18: (1) 245 | (2) 1650 | (3)14.8485/100 | (4) 984, 984 | (5) 23.031 | (6) 43.2205 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (984, 984) | (18) X | (19) (374261, 374261) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 691.499 | (25) (33.4254, 14-1) | (26) 287 | (27) 37.3734
Output number: 1, Rank-4: (1) 109 | (2) 1700 | (3)6.41176/100 | (4) 843, 843 | (5) 13.2253 | (6) 50.2392 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35/100 | (15) 0 | (17) (843, 843) | (18) X | (19) (336490, 336490) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 310.766 | (25) (0.55408, 48-133) | (26) 474 | (27) -0.23802
Output number: 1, Rank-5: (1) 279 | (2) 461 | (3)60.5206/100 | (4) 1013, 1013 | (5) 131.985 | (6) 12.9716 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 80/100 | (15) 0 | (17) (1013, 1013) | (18) X | (19) (429501, 429501) | (20) 1 | (21) 0 | (22) 0 | (23) 148 | (24) 3490.97 | (25) (33.7414, 9-138) | (26) 1 | (27) 1144.2
Output number: 1, Rank-8: (1) 315 | (2) 1102 | (3)28.5844/100 | (4) 1052, 1052 | (5) 97.7371 | (6) 22.604 | (7) 0.000630205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 66.6667/100 | (15) 0 | (17) (1052, 1052) | (18) X | (19) (374091, 374091) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 3459.87 | (25) (33.7255, 85-79) | (26) 1 | (27) 133.086
Output number: 1, Rank-9: (1) 33 | (2) 370 | (3)8.91892/100 | (4) 194, 194 | (5) 158.487 | (6) 7.32713 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 91.6667/100 | (15) 0 | (17) (194, 194) | (18) X | (19) (86576, 86576) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 3828.93 | (25) (38.733, 70-87) | (26) 1 | (27) 143.265
Output number: 1, Rank-10: (1) 0 | (2) 5 | (3)0/100 | (4) 492, 492 | (5) 159.671 | (6) 6.74824 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 92.2222/100 | (15) 0 | (17) (492, 492) | (18) X | (19) (221154, 221154) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 3514.27 | (25) (33.7627, 136-139) | (26) 1 | (27) 165.753
Output number: 1, Rank-13: (1) 111 | (2) 193 | (3)57.513/100 | (4) 864, 864 | (5) 138.738 | (6) 10.1823 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 82.2222/100 | (15) 0 | (17) (864, 864) | (18) X | (19) (367226, 367226) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 3422.6 | (25) (33.7807, 137-136) | (26) 777 | (27) 32.2813
Output number: 1, Rank-0: (1) 86 | (2) 191 | (3)45.0262/100 | (4) 543, 543 | (5) 163.574 | (6) 4.6317 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 93.3333/100 | (15) 0 | (17) (543, 543) | (18) X | (19) (245080, 245080) | (20) 1 | (21) 0 | (22) 0 | (23) 17 | (24) 4483.61 | (25) (34.7894, 63-73) | (26) 1 | (27) 235.269
Output number: 1, Rank-19: (1) 155 | (2) 242 | (3)64.0496/100 | (4) 867, 867 | (5) 133.61 | (6) 10.8707 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 80/100 | (15) 0 | (17) (867, 867) | (18) X | (19) (369236, 369236) | (20) 1 | (21) 0 | (22) 0 | (23) 10 | (24) 3332.04 | (25) (33.9469, 11-9) | (26) 1 | (27) 167.952
Output number: 1, Rank-20: (1) 0 | (2) 36 | (3)0/100 | (4) 214, 214 | (5) 152.531 | (6) 9.40937 | (7) 0.000606912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 89.4444/100 | (15) 0 | (17) (214, 214) | (18) X | (19) (121217, 121217) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 3148.02 | (25) (33.7335, 8-0) | (26) 1 | (27) 131.114
Output number: 1, Rank-22: (1) 132 | (2) 1573 | (3)8.39161/100 | (4) 868, 868 | (5) 97.5548 | (6) 21.3648 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 65.5556/100 | (15) 0 | (17) (868, 868) | (18) X | (19) (322731, 322731) | (20) 1 | (21) 0 | (22) 0 | (23) 9 | (24) 3051.18 | (25) (33.9038, 78-73) | (26) 1 | (27) 133.671
Output number: 1, Rank-23: (1) 61 | (2) 212 | (3)28.7736/100 | (4) 725, 725 | (5) 165.011 | (6) 4.44305 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 93.8889/100 | (15) 0 | (17) (725, 725) | (18) X | (19) (263680, 263680) | (20) 1 | (21) 0 | (22) 0 | (23) 129 | (24) 4380.73 | (25) (35.0689, 83-71) | (26) 1 | (27) 1561.89
Output number: 1, Rank-25: (1) 0 | (2) 8 | (3)0/100 | (4) 193, 193 | (5) 132.37 | (6) 17.1282 | (7) 4.2865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 82.7778/100 | (15) 0 | (17) (193, 193) | (18) X | (19) (111509, 111509) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2596.14 | (25) (33.4863, 141-2) | (26) 1 | (27) 129.583
Output number: 1, Rank-1: (1) 385 | (2) 887 | (3)43.4047/100 | (4) 1069, 1069 | (5) 88.8736 | (6) 23.7785 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 62.2222/100 | (15) 0 | (17) (1069, 1069) | (18) X | (19) (391508, 391508) | (20) 1 | (21) 1 | (22) 0 | (23) 48 | (24) 3941.61 | (25) (36.5389, 56-74) | (26) 1 | (27) 254.268
Output number: 1, Rank-21: (1) 0 | (2) 1741 | (3)0/100 | (4) 733, 733 | (5) 11.1394 | (6) 52.9983 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 35.5556/100 | (15) 0 | (17) (733, 733) | (18) X | (19) (278544, 278544) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 276.983 | (25) (0.56154, 132-51) | (26) 217999 | (27) -0.40003
Output number: 1, Rank-6: (1) 0 | (2) 0 | (3)0/100 | (4) 274, 274 | (5) 168.698 | (6) 4.01829 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.005 | (14) 95.5556/100 | (15) 0 | (17) (274, 274) | (18) X | (19) (153508, 153508) | (20) 1 | (21) 0 | (22) 0 | (23) 59 | (24) 3481.52 | (25) (36.3915, 2-128) | (26) 1 | (27) 873.596
Output number: 1, Rank-15: (1) 53 | (2) 135 | (3)39.2593/100 | (4) 176, 176 | (5) 172.002 | (6) 2.86689 | (7) 6.8221e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.005 | (14) 96.6667/100 | (15) 0 | (17) (176, 176) | (18) X | (19) (81687, 81687) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 4113.45 | (25) (54.4727, 76-67) | (26) 1 | (27) 233.301
Output number: 1, Rank-16: (1) 169 | (2) 1437 | (3)11.7606/100 | (4) 855, 855 | (5) 121.183 | (6) 15.2347 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.007 | (14) 75.5556/100 | (15) 0 | (17) (855, 855) | (18) X | (19) (311177, 311177) | (20) 1 | (21) 1 | (22) 0 | (23) 22 | (24) 3654.25 | (25) (33.7381, 66-58) | (26) 1 | (27) 171.12
Output number: 2, Rank-20: (1) 3 | (2) 533 | (3)0.562852/100 | (4) 217, 217 | (5) 263.092 | (6) 32.5479 | (7) 0.000606912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 81.9444/100 | (15) 0 | (17) (217, 217) | (18) X | (19) (194819, 73602) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 3279.35 | (25) (33.4974, 13-8) | (26) 79 | (27) 0.53848
Output number: 2, Rank-8: (1) 315 | (2) 1154 | (3)27.2964/100 | (4) 1052, 1052 | (5) 231.946 | (6) 32.1714 | (7) 0.000630205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 73.3333/100 | (15) 0 | (17) (1052, 1052) | (18) X | (19) (734191, 360100) | (20) 1 | (21) 0 | (22) 0 | (23) 16 | (24) 3916.63 | (25) (33.7019, 87-82) | (26) 1 | (27) 135.709
Output number: 2, Rank-6: (1) 0 | (2) 20 | (3)0/100 | (4) 272, 272 | (5) 296.456 | (6) 21.1578 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 88.0556/100 | (15) 0 | (17) (272, 272) | (18) X | (19) (250277, 96769) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3572.62 | (25) (33.6089, 2-142) | (26) 11329 | (27) -0.61946
Output number: 2, Rank-22: (1) 135 | (2) 3217 | (3)4.19646/100 | (4) 871, 871 | (5) 206.574 | (6) 37.9594 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 67.7778/100 | (15) 0 | (17) (871, 871) | (18) X | (19) (620490, 297759) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 3178.1 | (25) (33.868, 78-73) | (26) 1 | (27) -0.59701
Output number: 2, Rank-18: (1) 245 | (2) 3435 | (3)7.13246/100 | (4) 984, 984 | (5) 47.5151 | (6) 83.2596 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 36.1111/100 | (15) 0 | (17) (984, 984) | (18) X | (19) (711286, 337025) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 692.099 | (25) (33.4601, 11-1) | (26) 69 | (27) 0.34566
Output number: 2, Rank-26: (1) 11 | (2) 3532 | (3)0.311438/100 | (4) 756, 756 | (5) 20.9218 | (6) 108.187 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 35.8333/100 | (15) 0 | (17) (756, 756) | (18) X | (19) (529202, 259240) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 284.359 | (25) (0.55963, 100-38) | (26) 247 | (27) -0.31768
Output number: 2, Rank-21: (1) 0 | (2) 3530 | (3)0/100 | (4) 733, 733 | (5) 21.0852 | (6) 106.517 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 35.2778/100 | (15) 0 | (17) (733, 733) | (18) X | (19) (529963, 251419) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 272 | (25) (0.58071, 126-55) | (26) 21036 | (27) -0.40003
Output number: 2, Rank-12: (1) 5 | (2) 3499 | (3)0.142898/100 | (4) 755, 755 | (5) 22.8841 | (6) 103.55 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 35/100 | (15) 0 | (17) (755, 755) | (18) X | (19) (560798, 258210) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 288.583 | (25) (0.6394, 139-99) | (26) 423138 | (27) -0.64283
Output number: 2, Rank-19: (1) 155 | (2) 242 | (3)64.0496/100 | (4) 864, 864 | (5) 254.069 | (6) 25.1475 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 77.5/100 | (15) 0 | (17) (864, 864) | (18) X | (19) (666292, 297056) | (20) 1 | (21) 0 | (22) 0 | (23) 14 | (24) 3558.46 | (25) (34.1025, 11-9) | (26) 25 | (27) 4.99392
Output number: 2, Rank-14: (1) 174 | (2) 3479 | (3)5.00144/100 | (4) 926, 926 | (5) 25.4751 | (6) 91.5457 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 32.5/100 | (15) 0 | (17) (926, 926) | (18) X | (19) (649286, 313290) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 348.658 | (25) (0.58871, 31-42) | (26) 27615 | (27) -1.84198
Output number: 2, Rank-25: (1) 0 | (2) 8 | (3)0/100 | (4) 193, 193 | (5) 223.504 | (6) 48.2118 | (7) 4.2865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 75.2778/100 | (15) 0 | (17) (193, 193) | (18) X | (19) (177675, 66166) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2694.09 | (25) (33.2976, 141-14) | (26) 1 | (27) 64.7183
Output number: 2, Rank-2: (1) 137 | (2) 3492 | (3)3.92325/100 | (4) 864, 864 | (5) 24.1589 | (6) 96.5301 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 33.3333/100 | (15) 0 | (17) (864, 864) | (18) X | (19) (614275, 296584) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 324.05 | (25) (0.54811, 16-95) | (26) 648 | (27) -0.71224
Output number: 2, Rank-4: (1) 121 | (2) 3487 | (3)3.47003/100 | (4) 855, 855 | (5) 28.3246 | (6) 97.5691 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 34.7222/100 | (15) 0 | (17) (855, 855) | (18) X | (19) (629214, 292724) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 513.081 | (25) (33.3708, 14-143) | (26) 10398 | (27) -0.23802
Output number: 2, Rank-17: (1) 251 | (2) 3452 | (3)7.27115/100 | (4) 990, 990 | (5) 27.1327 | (6) 98.1754 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 34.7222/100 | (15) 0 | (17) (990, 990) | (18) X | (19) (673581, 328217) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 375.984 | (25) (0.59934, 59-25) | (26) 917 | (27) -0.36415
Output number: 2, Rank-11: (1) 159 | (2) 3473 | (3)4.57817/100 | (4) 893, 893 | (5) 26.7258 | (6) 92.4963 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 33.0556/100 | (15) 0 | (17) (893, 893) | (18) X | (19) (664350, 304919) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 341.777 | (25) (0.62442, 71-132) | (26) 2214 | (27) -0.26049
Output number: 2, Rank-3: (1) 92 | (2) 3490 | (3)2.6361/100 | (4) 825, 825 | (5) 25.0247 | (6) 96.3994 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 33.6111/100 | (15) 0 | (17) (825, 825) | (18) X | (19) (619558, 283879) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 312.494 | (25) (0.60151, 32-139) | (26) 43750 | (27) -1.37605
Output number: 2, Rank-27: (1) 238 | (2) 715 | (3)33.2867/100 | (4) 954, 954 | (5) 177.789 | (6) 44.0352 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 61.3889/100 | (15) 0 | (17) (954, 954) | (18) X | (19) (690755, 327184) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2457.37 | (25) (33.9708, 136-1) | (26) 1 | (27) 32.7549
Output number: 2, Rank-13: (1) 111 | (2) 1742 | (3)6.37199/100 | (4) 861, 861 | (5) 259.695 | (6) 23.6699 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 78.6111/100 | (15) 0 | (17) (861, 861) | (18) X | (19) (662459, 295233) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 3555.13 | (25) (33.9209, 137-136) | (26) 1 | (27) 64.9624
Output number: 2, Rank-24: (1) 330 | (2) 3086 | (3)10.6935/100 | (4) 1075, 1075 | (5) 149.588 | (6) 51.9465 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 55.8333/100 | (15) 0 | (17) (1075, 1075) | (18) X | (19) (774032, 368691) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2380.99 | (25) (34.0921, 137-7) | (26) 1 | (27) 164.861
Output number: 2, Rank-0: (1) 86 | (2) 191 | (3)45.0262/100 | (4) 519, 519 | (5) 317.11 | (6) 11.1978 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 91.1111/100 | (15) 0 | (17) (519, 519) | (18) X | (19) (424231, 179151) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 4477.21 | (25) (36.2143, 58-83) | (26) 1 | (27) 131.483
Output number: 2, Rank-7: (1) 137 | (2) 3373 | (3)4.06167/100 | (4) 869, 869 | (5) 166.067 | (6) 51.1477 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 60.2778/100 | (15) 0 | (17) (869, 869) | (18) X | (19) (623136, 297695) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 2546.42 | (25) (33.9942, 69-85) | (26) 1 | (27) 35.2968
Output number: 2, Rank-15: (1) 53 | (2) 1772 | (3)2.99097/100 | (4) 176, 176 | (5) 315.869 | (6) 12.6148 | (7) 6.8221e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 91.1111/100 | (15) 0 | (17) (176, 176) | (18) X | (19) (142017, 60330) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4190.41 | (25) (34.4705, 77-70) | (26) 1 | (27) -0.3766
Output number: 2, Rank-16: (1) 169 | (2) 2997 | (3)5.63897/100 | (4) 752, 752 | (5) 274.677 | (6) 19.6871 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 81.6667/100 | (15) 0 | (17) (752, 752) | (18) X | (19) (584243, 273066) | (20) 1 | (21) 0 | (22) 0 | (23) 18 | (24) 4462.82 | (25) (33.7866, 66-58) | (26) 1 | (27) 136.851
Output number: 2, Rank-9: (1) 33 | (2) 749 | (3)4.40587/100 | (4) 194, 194 | (5) 299.497 | (6) 19.5259 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.003 | (14) 88.6111/100 | (15) 0 | (17) (194, 194) | (18) X | (19) (153059, 66483) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 4107.69 | (25) (36.4437, 66-78) | (26) 1 | (27) 106.164
Output number: 2, Rank-10: (1) 0 | (2) 636 | (3)0/100 | (4) 492, 492 | (5) 283.132 | (6) 24.5518 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.003 | (14) 85.2778/100 | (15) 0 | (17) (492, 492) | (18) X | (19) (389509, 168355) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 3658.81 | (25) (33.4823, 135-139) | (26) 1 | (27) 65.4104
Output number: 2, Rank-1: (1) 387 | (2) 981 | (3)39.4495/100 | (4) 1068, 1068 | (5) 235.602 | (6) 29.2677 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.003 | (14) 73.3333/100 | (15) 0 | (17) (1068, 1068) | (18) X | (19) (758362, 366854) | (20) 1 | (21) 0 | (22) 0 | (23) 26 | (24) 4279.15 | (25) (34.4825, 68-59) | (26) 1 | (27) 272.76
Output number: 2, Rank-5: (1) 279 | (2) 461 | (3)60.5206/100 | (4) 1003, 1003 | (5) 259.232 | (6) 24.7488 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.003 | (14) 78.6111/100 | (15) 0 | (17) (1003, 1003) | (18) X | (19) (784022, 354521) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 3494.59 | (25) (34.0141, 12-140) | (26) 1 | (27) 101.812
