#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-32-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.44863 seconds
Distributing the actor graph took: 42.1073 seconds
Added actors in: 0.116455 seconds.
Initialized connections of actors in: 0.0522152 seconds.
Async Migration only
Output number: 1, Rank-9: (1) 23 | (2) 435 | (3)5.28736/100 | (4) 18, 18 | (5) 17.9686 | (6) 69.9332 | (7) 0.000371078 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (67384, 67384) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 136.298 | (25) (32.9184, 67-57)
Output number: 1, Rank-1: (1) 31 | (2) 560 | (3)5.53571/100 | (4) 50, 50 | (5) 7.51067 | (6) 72.0528 | (7) 0.000317343 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.8889/100 | (15) 0 | (17) (50, 50) | (18) X | (19) (93786, 93786) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 127.051 | (25) (36.2271, 55-64)
Output number: 1, Rank-3: (1) 39 | (2) 531 | (3)7.34463/100 | (4) 32, 32 | (5) 17.4109 | (6) 67.8582 | (7) 0.000335029 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (90059, 90059) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 111.183 | (25) (33.0504, 68-90)
Output number: 1, Rank-4: (1) 34 | (2) 364 | (3)9.34066/100 | (4) 19, 19 | (5) 20.6911 | (6) 67.5866 | (7) 0.000303524 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (76374, 76374) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.383 | (25) (33.7564, 84-71)
Output number: 1, Rank-8: (1) 26 | (2) 445 | (3)5.8427/100 | (4) 16, 16 | (5) 19.0324 | (6) 68.8856 | (7) 0.0002665 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (63067, 63067) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 109.203 | (25) (34.9641, 54-68)
Output number: 1, Rank-10: (1) 29 | (2) 393 | (3)7.37913/100 | (4) 28, 28 | (5) 20.8594 | (6) 70.6225 | (7) 0.000323733 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (84422, 84422) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 107.958 | (25) (32.8594, 136-15)
Output number: 1, Rank-11: (1) 29 | (2) 544 | (3)5.33088/100 | (4) 51, 51 | (5) 11.3446 | (6) 69.9715 | (7) 0.000319173 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45/100 | (15) 0 | (17) (51, 51) | (18) X | (19) (105665, 105665) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 52.2406 | (25) (33.0768, 131-8)
Output number: 1, Rank-14: (1) 29 | (2) 477 | (3)6.07966/100 | (4) 23, 23 | (5) 22.1796 | (6) 68.176 | (7) 0.000374736 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (69500, 69500) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 108.118 | (25) (33.5289, 128-141)
Output number: 1, Rank-2: (1) 33 | (2) 1676 | (3)1.96897/100 | (4) 22, 22 | (5) 22.541 | (6) 68.4493 | (7) 0.000359995 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (76150, 76150) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 107.049 | (25) (33.514, 64-70)
Output number: 1, Rank-6: (1) 36 | (2) 1682 | (3)2.14031/100 | (4) 17, 17 | (5) 20.9613 | (6) 74.3052 | (7) 0.000332538 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 52.7778/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (88144, 88144) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.074 | (25) (33.6076, 53-84)
Output number: 1, Rank-297: (1) 24 | (2) 1631 | (3)1.47149/100 | (4) 24, 24 | (5) 14.0444 | (6) 70.4682 | (7) 0.000323845 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (75915, 75915) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.625 | (25) (33.4362, 2-2)
Output number: 1, Rank-377: (1) 32 | (2) 1687 | (3)1.89686/100 | (4) 18, 18 | (5) 27.5251 | (6) 67.6569 | (7) 0.000315614 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 52.7778/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (76686, 76686) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 104.983 | (25) (33.1401, 88-90)
Output number: 1, Rank-156: (1) 28 | (2) 1692 | (3)1.65485/100 | (4) 24, 24 | (5) 12.6507 | (6) 72.8346 | (7) 0.000291146 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (90819, 90819) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 106.602 | (25) (33.0715, 85-69)
Output number: 1, Rank-538: (1) 44 | (2) 1681 | (3)2.61749/100 | (4) 19, 19 | (5) 23.0502 | (6) 67.984 | (7) 0.000342649 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (71327, 71327) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 78.4402 | (25) (35.8234, 12-138)
Output number: 1, Rank-502: (1) 25 | (2) 1697 | (3)1.47319/100 | (4) 20, 20 | (5) 23.0466 | (6) 68.6956 | (7) 0.000333163 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (65701, 65701) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 105.769 | (25) (33.1234, 0-125)
Output number: 1, Rank-439: (1) 57 | (2) 515 | (3)11.068/100 | (4) 15, 15 | (5) 39.1822 | (6) 60.768 | (7) 0.000340551 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (51187, 51187) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 105.416 | (25) (33.6521, 13-2)
Output number: 1, Rank-353: (1) 42 | (2) 527 | (3)7.96964/100 | (4) 12, 12 | (5) 23.1494 | (6) 68.3488 | (7) 0.0003711 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (69137, 69137) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 134.425 | (25) (33.0819, 1-11)
Output number: 1, Rank-55: (1) 29 | (2) 528 | (3)5.49242/100 | (4) 19, 19 | (5) 12.3529 | (6) 72.4309 | (7) 0.000315426 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (85129, 85129) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.73 | (25) (33.4864, 90-81)
Output number: 1, Rank-665: (1) 29 | (2) 420 | (3)6.90476/100 | (4) 29, 29 | (5) 17.3618 | (6) 67.992 | (7) 0.000324369 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (79924, 79924) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 110.046 | (25) (33.5496, 67-70)
Output number: 1, Rank-83: (1) 57 | (2) 1701 | (3)3.35097/100 | (4) 9, 9 | (5) 35.2495 | (6) 69.8572 | (7) 0.000295084 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 58.3333/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (51962, 51962) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.98 | (25) (35.5378, 131-6)
Output number: 1, Rank-568: (1) 38 | (2) 1669 | (3)2.27681/100 | (4) 14, 14 | (5) 31.0887 | (6) 64.1371 | (7) 0.000318555 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 52.7778/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (56344, 56344) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 104.955 | (25) (33.7542, 67-63)
Output number: 1, Rank-743: (1) 31 | (2) 1621 | (3)1.9124/100 | (4) 41, 41 | (5) 18.2332 | (6) 69.3782 | (7) 0.00038932 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (41, 41) | (18) X | (19) (97012, 97012) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 85.6868 | (25) (35.6084, 137-131)
Output number: 1, Rank-531: (1) 55 | (2) 1601 | (3)3.43535/100 | (4) 18, 18 | (5) 40.962 | (6) 60.1106 | (7) 0.000308173 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.1111/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (45643, 45643) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 104.552 | (25) (33.3281, 18-140)
Output number: 1, Rank-224: (1) 27 | (2) 1619 | (3)1.6677/100 | (4) 22, 22 | (5) 20.0095 | (6) 68.7515 | (7) 0.000302409 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (82609, 82609) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 108.263 | (25) (33.8215, 75-59)
Output number: 1, Rank-416: (1) 32 | (2) 1714 | (3)1.86698/100 | (4) 25, 25 | (5) 27.8749 | (6) 66.1956 | (7) 0.000390007 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 52.2222/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (84546, 84546) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 89.9394 | (25) (45.3687, 0-0)
Output number: 1, Rank-460: (1) 25 | (2) 515 | (3)4.85437/100 | (4) 35, 35 | (5) 14.0062 | (6) 71.2427 | (7) 0.00031858 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (35, 35) | (18) X | (19) (92157, 92157) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 112.86 | (25) (33.6064, 90-74)
Output number: 1, Rank-218: (1) 44 | (2) 1619 | (3)2.71773/100 | (4) 23, 23 | (5) 22.6476 | (6) 68.2733 | (7) 0.000305633 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (78514, 78514) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 116.23 | (25) (36.0704, 73-56)
Output number: 1, Rank-758: (1) 54 | (2) 1672 | (3)3.22967/100 | (4) 30, 30 | (5) 33.9843 | (6) 60.892 | (7) 0.000358387 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 52.2222/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (66012, 66012) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 111.172 | (25) (33.5669, 139-125)
Output number: 1, Rank-168: (1) 37 | (2) 489 | (3)7.56646/100 | (4) 24, 24 | (5) 25.001 | (6) 64.8631 | (7) 0.000299257 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 49.4444/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (75112, 75112) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 108.031 | (25) (33.3667, 82-86)
Output number: 1, Rank-674: (1) 30 | (2) 1668 | (3)1.79856/100 | (4) 17, 17 | (5) 19.0032 | (6) 70.0675 | (7) 0.000396682 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 49.4444/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (60784, 60784) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 105.579 | (25) (33.5027, 143-130)
Output number: 1, Rank-811: (1) 40 | (2) 504 | (3)7.93651/100 | (4) 16, 16 | (5) 37.9887 | (6) 60.925 | (7) 0.000318546 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 54.4444/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (44356, 44356) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 105.883 | (25) (33.6153, 74-62)
Output number: 1, Rank-599: (1) 47 | (2) 1620 | (3)2.90123/100 | (4) 11, 11 | (5) 45.8583 | (6) 59.2838 | (7) 0.00029291 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 58.3333/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (35445, 35445) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.12 | (25) (33.6534, 56-60)
Output number: 1, Rank-274: (1) 41 | (2) 435 | (3)9.42529/100 | (4) 26, 26 | (5) 23.0351 | (6) 67.2213 | (7) 0.000384996 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (88967, 88967) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 109.942 | (25) (33.9548, 66-73)
Output number: 1, Rank-123: (1) 30 | (2) 409 | (3)7.33496/100 | (4) 38, 38 | (5) 18.7909 | (6) 67.5514 | (7) 0.000284014 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.7778/100 | (15) 0 | (17) (38, 38) | (18) X | (19) (90244, 90244) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 81.8831 | (25) (33.6591, 62-86)
Output number: 1, Rank-884: (1) 46 | (2) 1691 | (3)2.72028/100 | (4) 13, 13 | (5) 30.37 | (6) 66.1626 | (7) 0.000292146 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 53.3333/100 | (15) 0 | (17) (13, 13) | (18) X | (19) (70935, 70935) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 104.471 | (25) (33.8142, 87-90)
Output number: 1, Rank-107: (1) 41 | (2) 1636 | (3)2.50611/100 | (4) 14, 14 | (5) 42.4668 | (6) 60.2587 | (7) 0.000265354 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.6667/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (36579, 36579) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.472 | (25) (33.0722, 133-14)
Output number: 1, Rank-316: (1) 2 | (2) 1678 | (3)0.11919/100 | (4) 25, 25 | (5) 2.18213 | (6) 77.078 | (7) 0.000280053 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.8889/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (68705, 68705) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5.87064 | (25) (0.39258, 2-71)
Output number: 1, Rank-726: (1) 20 | (2) 1586 | (3)1.26103/100 | (4) 43, 43 | (5) 6.321 | (6) 72.6358 | (7) 0.000333083 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.3333/100 | (15) 0 | (17) (43, 43) | (18) X | (19) (79666, 79666) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 78.6381 | (25) (33.467, 130-133)
Output number: 1, Rank-635: (1) 22 | (2) 1572 | (3)1.39949/100 | (4) 30, 30 | (5) 8.97017 | (6) 75.7186 | (7) 0.000337584 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (73794, 73794) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.34 | (25) (33.2318, 78-71)
Output number: 1, Rank-862: (1) 18 | (2) 1645 | (3)1.09422/100 | (4) 37, 37 | (5) 12.1588 | (6) 71.4867 | (7) 0.000325923 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (78806, 78806) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 113.143 | (25) (33.4024, 73-58)
Output number: 1, Rank-821: (1) 29 | (2) 1644 | (3)1.76399/100 | (4) 14, 14 | (5) 26.2711 | (6) 66.0449 | (7) 0.000268523 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 51.1111/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (61089, 61089) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.035 | (25) (33.2289, 71-65)
Output number: 1, Rank-298: (1) 27 | (2) 1718 | (3)1.57159/100 | (4) 20, 20 | (5) 15.8732 | (6) 71.3592 | (7) 0.000383005 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (70787, 70787) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 110.159 | (25) (34.7317, 56-83)
Output number: 1, Rank-378: (1) 33 | (2) 538 | (3)6.13383/100 | (4) 15, 15 | (5) 20.8445 | (6) 68.0074 | (7) 0.000328443 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (72420, 72420) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 105.38 | (25) (33.7148, 57-67)
Output number: 1, Rank-157: (1) 25 | (2) 560 | (3)4.46429/100 | (4) 30, 30 | (5) 17.2514 | (6) 69.1789 | (7) 0.000295793 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.7778/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (88475, 88475) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 109.543 | (25) (33.0767, 85-89)
Output number: 1, Rank-539: (1) 36 | (2) 1590 | (3)2.26415/100 | (4) 19, 19 | (5) 28.0443 | (6) 65.9066 | (7) 0.000307162 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 51.6667/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (68482, 68482) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 105.136 | (25) (33.3316, 5-126)
Output number: 1, Rank-503: (1) 28 | (2) 1641 | (3)1.70628/100 | (4) 36, 36 | (5) 18.0588 | (6) 70.7177 | (7) 0.000322926 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (36, 36) | (18) X | (19) (88112, 88112) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 114.908 | (25) (34.5093, 3-126)
Output number: 1, Rank-440: (1) 47 | (2) 1679 | (3)2.79929/100 | (4) 20, 20 | (5) 35.2137 | (6) 63.4687 | (7) 0.000314249 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 54.4444/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (53992, 53992) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.348 | (25) (33.6537, 7-2)
Output number: 1, Rank-355: (1) 32 | (2) 507 | (3)6.31164/100 | (4) 14, 14 | (5) 26.7659 | (6) 65.5949 | (7) 0.000311486 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 51.1111/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (51392, 51392) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 102.55 | (25) (33.0468, 16-0)
Output number: 1, Rank-28: (1) 35 | (2) 506 | (3)6.917/100 | (4) 38, 38 | (5) 17.261 | (6) 67.6425 | (7) 0.000332108 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (38, 38) | (18) X | (19) (92653, 92653) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 81.0182 | (25) (34.0252, 139-0)
Output number: 1, Rank-666: (1) 27 | (2) 1725 | (3)1.56522/100 | (4) 49, 49 | (5) 10.71 | (6) 71.6185 | (7) 0.000388292 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45.5556/100 | (15) 0 | (17) (49, 49) | (18) X | (19) (99662, 99662) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 83.9358 | (25) (32.7648, 3-143)
